n,p,instance,objective,runtime_sec
100,0.1,1,88,202.6770957100016
100,0.1,10,69,111.86011134600267
100,0.1,11,81,58.67617513299774
100,0.1,12,71,81.30642179599818
100,0.1,13,78,20.247342012000445
100,0.1,14,83,55.176717613998335
100,0.1,15,70,127.6319965349976
100,0.1,16,85,153.46210566199443
100,0.1,17,70,83.59217836000607
100,0.1,18,80,124.84047679800278
100,0.1,19,77,33.194669935001
100,0.1,2,74,138.3276595530042
100,0.1,20,71,135.96663807499863
100,0.1,3,92,194.65423032200488
100,0.1,4,70,36.58808827600296
100,0.1,5,87,163.8072605769994
100,0.1,6,86,84.85335633899376
100,0.1,7,100,240.63543813599972
100,0.1,8,90,144.18994252400444
100,0.1,9,86,112.05187802999717
100,0.5,1,826,300.09381397799734
100,0.5,10,812,300.11890621099883
100,0.5,11,859,300.04328984099993
100,0.5,12,838,300.06092900800286
100,0.5,13,803,300.105746483001
100,0.5,14,888,300.36573096900247
100,0.5,15,878,300.5047554080011
100,0.5,16,830,300.06049028599955
100,0.5,17,841,300.0619985200028
100,0.5,18,827,300.05896565600415
100,0.5,19,865,300.06674529099837
100,0.5,2,818,300.0714827479969
100,0.5,20,856,300.067562805998
100,0.5,3,858,300.0591973259943
100,0.5,4,893,300.11681118699926
100,0.5,5,856,300.06151101299474
100,0.5,6,864,300.2690247349965
100,0.5,7,812,300.0654257349961
100,0.5,8,875,300.069285106998
100,0.5,9,821,300.04705589499645
100,0.9,1,1761,300.4034495320011
100,0.9,10,1716,300.38549355600117
100,0.9,11,1701,300.6516557549985
100,0.9,12,1712,300.0678964270046
100,0.9,13,1700,300.67297928399785
100,0.9,14,1721,300.57894059499813
100,0.9,15,1738,300.4030584709981
100,0.9,16,1722,300.52335769999627
100,0.9,17,1708,300.2840392760045
100,0.9,18,1790,300.3735825949989
100,0.9,19,1737,300.81006985699787
100,0.9,2,1757,300.1304770729985
100,0.9,20,1732,300.508558350004
100,0.9,3,1751,300.26092510799936
100,0.9,4,1718,300.0667214339992
100,0.9,5,1721,300.67669871999533
100,0.9,6,1706,300.06197103799786
100,0.9,7,1745,300.2457883379975
100,0.9,8,1823,300.06765574999736
100,0.9,9,1725,300.2203454730043
20,0.1,1,0,0.01754991599591449
20,0.1,10,0,0.0004365070053609088
20,0.1,11,1,0.005569906999880914
20,0.1,12,0,0.0004173580018687062
20,0.1,13,0,0.01650388199777808
20,0.1,14,0,0.00028875900170532987
20,0.1,15,0,0.0002458489980199374
20,0.1,16,1,0.0007011359994066879
20,0.1,17,0,0.02369317899865564
20,0.1,18,0,0.00033462799910921603
20,0.1,19,0,0.00024161900364561006
20,0.1,2,0,0.00021902799926465377
20,0.1,20,1,0.001590779997059144
20,0.1,3,0,0.0002664679996087216
20,0.1,4,1,0.002424954996968154
20,0.1,5,1,0.0016304309974657372
20,0.1,6,1,0.024939782000728883
20,0.1,7,0,0.02191138999478426
20,0.1,8,0,0.023489809995226096
20,0.1,9,0,0.00029982799605932087
20,0.5,1,15,0.25167319599859184
20,0.5,10,12,0.05469353599619353
20,0.5,11,22,0.12328922799497377
20,0.5,12,15,0.08885743199789431
20,0.5,13,16,0.14286271100718295
20,0.5,14,17,0.05730700000276556
20,0.5,15,16,0.04554731999814976
20,0.5,16,15,0.10665061700274237
20,0.5,17,16,0.1189539330007392
20,0.5,18,21,0.13687080799718387
20,0.5,19,18,0.12984596000023885
20,0.5,2,19,0.27156771699810633
20,0.5,20,20,0.11157746700337157
20,0.5,3,23,0.17688690000068163
20,0.5,4,17,0.11093898199760588
20,0.5,5,21,0.1566664589990978
20,0.5,6,16,0.09285697899758816
20,0.5,7,18,0.8598108349979157
20,0.5,8,18,0.10798542799602728
20,0.5,9,21,0.154338104002818
20,0.9,1,48,0.693191794998711
20,0.9,10,47,0.4352674149995437
20,0.9,11,45,0.19230563800374512
20,0.9,12,43,0.22309380500519183
20,0.9,13,45,0.22357552099856548
20,0.9,14,45,10.164872012996057
20,0.9,15,41,1.9587032299968996
20,0.9,16,47,0.3406854570057476
20,0.9,17,42,2.0785777880009846
20,0.9,18,35,0.14886201600165805
20,0.9,19,44,0.32730286700098077
20,0.9,2,44,0.5978721599967685
20,0.9,20,42,0.17726640799810411
20,0.9,3,38,0.21991985399654368
20,0.9,4,45,0.4117460449997452
20,0.9,5,41,0.3409909649999463
20,0.9,6,39,0.38942558800044935
20,0.9,7,43,1.8303834219987039
20,0.9,8,44,0.597409592999611
20,0.9,9,46,4.9733035820027
250,0.1,1,871,750.1605526109997
250,0.1,10,896,750.0969923099983
250,0.1,11,914,750.168996706001
250,0.1,12,857,750.0718660419952
250,0.1,13,829,750.1593600039996
250,0.1,14,906,750.0795964800054
250,0.1,15,904,750.0877507969999
250,0.1,16,879,750.1081814829959
250,0.1,17,844,750.075871740999
250,0.1,18,863,750.0843582689995
250,0.1,19,837,750.1246483880022
250,0.1,2,839,750.0685331249988
250,0.1,20,846,750.0590714439968
250,0.1,3,869,750.1712880659979
250,0.1,4,911,750.4499007409977
250,0.1,5,900,750.2009923229998
250,0.1,6,884,750.064281428
250,0.1,7,832,750.1637199300021
250,0.1,8,889,750.9854888639966
250,0.1,9,942,750.2038985149993
250,0.5,1,7207,751.2214099010016
250,0.5,10,6971,750.1710354989991
250,0.5,11,7046,753.3801136780021
250,0.5,12,6482,750.045393346998
250,0.5,13,6901,793.830844562006
250,0.5,14,7383,751.1670245449932
250,0.5,15,7140,751.048380370994
250,0.5,16,6813,751.949131292
250,0.5,17,6416,750.0923146119894
250,0.5,18,6615,750.0774096679961
250,0.5,19,6425,750.0617614129878
250,0.5,2,6818,774.9685017059965
250,0.5,20,7374,750.3191850630101
250,0.5,3,6648,750.3772865270003
250,0.5,4,6680,750.095254749991
250,0.5,5,6809,750.0871023670043
250,0.5,6,6640,751.7170683260047
250,0.5,7,6680,750.0566836279904
250,0.5,8,6799,750.102395326001
250,0.5,9,6786,765.9419806070073
250,0.9,1,14312,754.4137388920062
250,0.9,10,15273,753.7314847009984
